Mixture,T.cells,B.cells,Monocytes,NK,DC,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
3038,1.2964506908427,0.112505620806546,0.325306518078999,0.0820413470976564,0.00363235810821633,0.357273624541956,0,0.859097558999807,0.843859058270798,2.17721015947607
3044,1.02246795043665,0.0971068954595194,0.219692163400516,0,0,0.772991682244633,0,0.856864035709607,0.857100607100539,2.11225869154132
3070,1.24042836210106,0.0405173103378026,0.215765456455511,0,0.000223497544565341,0.630593864216833,0,0.867470331553553,0.847894897552532,2.12752849065577
3093,0.792864485003619,0.0768183461555994,0.351142750732278,0,0,0.970510994712495,0,0.843519771862622,0.853354200738564,2.19133657660399
3123,1.18378119584789,0.111566667201316,0.151892007734621,0.131294560880316,0.000509940289377864,0.451001279759584,0,0.871398745853562,0.843578118637101,2.03004565171311
3127,0.687507655229466,0.0490078313675733,0.290876178944785,0.0127624472409185,0.000645626565963513,1.28023497833623,0,0.840698411814638,0.848191365027203,2.32103471768494
3150,1.00968109323822,0.0540015623827296,0.298865737064441,0.0049798605529179,0,0.810669081951688,0,0.909632782220365,0.841621018472626,2.17819733519
3160,0.994487038914975,0.0667896829122971,0.323976443683444,0,0.000422710617320721,0.700701924288492,0,0.831425706825141,0.858979086418804,2.08637780041653
3024,0.822341714596975,0.0689827192193397,0.338539086267041,0.0883898710593879,0.000804832265605779,0.816986874801206,0,0.862651838045493,0.851494520726818,2.13604509820956
3025,0.812961300320434,0.0682110345509065,0.357060764119743,0,0,0.969998356769586,0,0.857958550898794,0.849733814006088,2.20823145576067
3027,0.560686808196792,0.0596985545088992,0.383306027195305,0.0524029351936293,0.00392274179325123,1.00030740784348,0,0.842323437217752,0.845065235965496,2.06032447473135
3033,0.885939345140062,0.0373124470815415,0.217445345966762,0.0401388521945441,0.00196077873028259,0.957788798298725,0,0.876600384926928,0.848767905948194,2.14058556741192
3034,1.09119940212016,0.0673192770092969,0.319596755618243,0.1425802064622,0.00137529053090861,0.548981867222149,0,0.848520909334705,0.851771831549421,2.17105279896296
3040,0.78477545305366,0.0772541491822848,0.12776186268861,0,0,1.15676056477547,0,0.844426300529153,0.856041514695773,2.14655202970002
3042,0.978208845838105,0.0310774654966509,0.218904126840701,0.0122453655491298,0.00193926479360358,0.984343680828066,0,0.855254196721464,0.853474665070299,2.22671874934626
3045,0.931702664442088,0.0682122070556584,0.349818821520861,0.0813986817651562,0.000811361880674685,0.781591003030999,0,0.874034184356122,0.849267412778741,2.21353473969544
3055,0.951911374963521,0.0696863700816512,0.106745707946779,0.112984489576853,0,0.808911874998453,0,0.866261419822859,0.854110557396745,2.05023981756726
3063,0.513914504051136,0.0650927181185776,0.30062004371376,0,0,1.47366576817077,0,0.862588609836172,0.83331502400247,2.35329303405425
3078,1.2997730956686,0.164625602095232,0.427469128538527,0,0,0.232695100982513,0,0.855811940261857,0.843614552780518,2.12456292728488
3100,0.954051739311066,0.0471823932665197,0.250375086751518,0.0303677130351986,0.00410119858973047,0.717929023229139,0,0.872098691699982,0.849612220670223,2.00400715418317
3115,1.01794262493723,0.0430993600665196,0.20673964728055,0.0202810137342742,0.00421380552844507,0.703765811307098,0,0.862337497202736,0.851793872505666,1.99604226285412
3134,0.805671574034387,0.104201564971599,0.320483466883547,0.0944852049033262,0,0.854498006476623,0,0.849051099185523,0.856896243319811,2.17933981726948
3152,1.00631279681413,0.0855920977803743,0.524332749504477,0.098957364200965,0,0.276591116572407,0,0.890507476910063,0.832715261180735,1.99178612487236
3154,0.658758143728604,0.102570505622895,0.385450423243923,0.033500082046543,0.00128430885596128,0.747408798509691,0,0.891524615238841,0.841444687415171,1.92897226200762
3170,1.01886950237085,0.0800448512669042,0.170648758581506,0.000148856812144866,0.00520509372669993,0.793581827341295,0,0.86715717763326,0.85342515789472,2.0684988900994
3172,0.648735791078229,0.0407431094828882,0.125368057689238,0.0210478265465476,0,1.5461912651144,0,0.875962208066822,0.836951860943908,2.3820860499113
3174,1.05213244791735,0.0838877872637881,0.358270411966851,0.0495384584722059,0,0.606714701898708,0,0.831677718970682,0.858385357585121,2.15054380751891
3197,1.17471667330147,0.0692868863981318,0.234310569364856,0.0409403114779499,0.00347587053069665,0.565870259236121,0,0.867045628866837,0.848255801812514,2.08860057030922
3218,0.693266690546947,0.0212788270184877,0.419880247875542,0.0311445951197108,0.00671035972749362,1.0478096139779,0,0.851212786351406,0.841694084998575,2.22009033426608
3228,1.02547162524474,0.0306591876415839,0.198016505698027,0.0895478062921862,0.000850401636498006,0.759049086358906,0,0.855488874355903,0.853508475993498,2.10359461287194
3023,1.18348567184688,0.0355916508892211,0.296057439175175,0.0992215722031031,0.00056044986419651,0.726203663551393,0,0.841963655317122,0.85478532265691,2.34112044752997
3039,0.636373421262045,0.0359813180348976,0.166562736120632,0.0898180049359109,0.000504393869092062,1.32473049686351,0,0.822505657340963,0.854389487318063,2.25397037108608
3071,0.746438928140115,0.0514356455119742,0.267072725022436,0.0688611447795289,0.000763227760846618,1.07067163148508,0,0.844603286899974,0.85354851724542,2.20524330269998
3081,0.820974706413464,0.0619531723950299,0.306921787660827,0,0.00231251782142321,0.950162920961054,0,0.885678102897022,0.844246741890835,2.1423251052518
3089,1.222181240731,0.103736754357915,0.222966588260261,0.0190012654622381,0.00014443903960369,0.587908357818638,0,0.879102775831017,0.847931719548035,2.15593864566966
3091,0.595745140246439,0.0566236218173834,0.164095373295752,0,0,1.43069095557392,0,0.870721767360374,0.837822819671905,2.24715509093349
3111,0.78512294747837,0.0607888719079477,0.17040674628065,0.0137640336425597,0,1.07900665204743,0,0.87071933685715,0.849859329983011,2.10908925135696
3112,0.908905239429472,0.0520157766373849,0.293609911956604,0.119888262669567,0.000558895901313878,0.880906890398967,0,0.852516523989891,0.854604333926252,2.25588497699331
3114,0.867765337736134,0.0698456157823583,0.422033659964046,0,0.00711473683282753,0.785188303409931,0,0.80667081191965,0.859259608067518,2.1519476537253
3120,0.755966720047553,0.0911930524812502,0.394723879831779,0.108557638291364,0.00338060653919781,0.729788977815921,0,0.871933497684191,0.847374156337643,2.08361087500707
3122,0.523660673355977,0.0638588113465691,0.397079785286722,0.0676985810045679,0,1.12612262462749,0,0.89824897587169,0.829495281019834,2.17842047562132
3124,0.745817262057711,0.0401082337766072,0.261813259479831,0.0352384899931642,0.000401272995043182,1.13170132574847,0,0.845210909934008,0.851560346896099,2.21507984405083
3133,0.604311151949767,0.0421004883023597,0.208566265244289,0.180588760481202,0.00051496892942112,1.16246294303315,0,0.863625169361729,0.847078404342033,2.19854457794019
3136,1.26791510473059,0.0454692151028749,0.205731892762185,0.0572108044751087,0.00208257434459146,0.551116048741818,0,0.863071148150222,0.845940943064259,2.12952564015717
3141,1.08335131959223,0.081046684779163,0.236208960259028,0,0.00309678828805898,0.704757791273221,0,0.836747662716157,0.859128658419959,2.1084615441917
3161,0.96708691945042,0.109056580897112,0.252043874601706,0.0337450174756914,0.000664030008831455,0.617630635350971,0,0.857397916745049,0.856335432398806,1.98022705778473
3183,0.765135214129132,0.0381621107996201,0.271008695376291,0,0,1.21439265402021,0,0.845064736780832,0.849816542346044,2.28869867432526
3184,0.986489741746813,0.0588612178976413,0.12019304928912,0.00925075754102631,0.00109882686161755,1.02274450805617,0,0.847047829926472,0.857816412545002,2.19863810139239
3206,1.00534485663523,0.0842926735820707,0.178300775415406,0,0.00110425088689583,0.805556692382482,0,0.855637713682114,0.857106449824494,2.07459924890209
3221,0.802998717710801,0.0823968692714992,0.191390276824999,0.033598761517431,0.000573414314007994,0.939502913228816,0,0.85292504081147,0.856798627551853,2.05046095286755
3223,1.00919060050251,0.0639186142786105,0.515118755673766,0.0499273657282839,0.000456255132143085,0.561769957045284,0,0.852121986753747,0.847660603662007,2.2003815483606
